sttn_id,sttn_nm
8002884,KAIST문지캠퍼스
8002885,LG화학기술연구원
8002886,한국항공우주연구원
8002890,중소벤처기업청
8002895,한국표준과학연구원
8002896,한국표준과학연구원
8002897,한국항공우주연구원
8002900,한국화학연구원
8002901,한국에너지기술연구원
8002909,한마을아파트
8002910,한마을아파트
8002911,한마을아파트후문
8002920,한밭대학교
8002921,한밭대학교
8002922,덕명네거리
8002923,덕명네거리
8002936,한배미뜰
8002939,한빛아파트
8002940,한빛아파트
8002941,한빛아파트
8002943,한솔아파트
8002948,한승미메이드아파트
8002949,한승미메이드아파트
8002955,하나아파트
8002956,한울아파트후문
8002960,한진오피스텔
8002961,온천교
8002962,한화솔루션중앙연구소
8002963,한화솔루션중앙연구소
8002973,현충원역1번출구
8002974,현충원역3번출구
8002984,홈플러스유성점
8002997,온천교
8003001,화물터미널
8003002,수통골삼거리
8003003,수통골삼거리
8003004,화암네거리
8003005,화암네거리
8003007,한국지질자원연구원
8003032,만년교
8003041,국가정보자원관리원
8003045,LG생활건강기술연구원
8003047,MBC/TJB방송국
8003048,MBC/TJB방송국
8003056,구즉초등학교
8003057,휴먼시아1단지
8003068,수통골입구
8003069,수통골입구
8003070,리빙포레아파트
8003071,미학아파트
8003072,학하동종점
8003073,학의뜰아파트
8003087,대덕특구체육공원
8003088,대덕특구체육공원
8003089,한국방송통신대학교
8003090,한국방송통신대학교
8003099,트리풀시티9단지
8003100,트리풀시티9단지
8003102,목원대네거리
8003110,원촌동솔로몬로파크
8003123,대한항공기술연구원
8003124,대한항공기술연구원
8003133,신동
8003134,신동
8005505,대덕밸리용신교
8005506,대덕밸리용신교
8005507,수변공원
8005508,수변공원
8005511,테크노밸리11.12단지
8005512,푸르지오하임1.2단지
8005516,충남대학교
8005519,갑천역
8005530,국립과학수사연구원
8005531,국립과학수사연구원
8005535,바이오니아
8005539,대동2통
8005542,대덕밸리용신교
8005543,대덕밸리용신교
8005551,미건테크노월드
8005552,미건테크노월드
8005553,반석고등학교
8005554,반석고등학교
8005563,스마트시티5단지
8005570,외삼중학교
8005571,외삼중학교
8005575,유성여고
8005576,유성여고
8005584,진잠초등학교
8005587,충남대도서관
8005588,충남대도서관
8005589,충남대산학연
8005590,충남대산학연
8005599,한남대대덕캠퍼스
8005600,한남대대덕캠퍼스
8005601,한신에스메카
8005602,한신에스메카
8005608,웅진에너지
8005609,웅진에너지
8005619,송림마을5.6단지
8005652,샘물타운
8005653,자운상가
8005655,아리랑보쌈앞
8005656,구암동
8005660,원불교유성교당
8005662,애경연구원
8005663,탄동농협
8005664,럭키하나아파트
8005667,탑립1통
8005670,군인아파트
8005671,자운상가
8005681,유성온천역
8005705,샘물타운
8005736,복지관
8005738,테크노밸리6단지
8005756,아리랑보쌈앞
8005757,애경연구원
8005758,신성동주민센터
8005782,럭키하나아파트
8005783,신성동주민센터
8005784,탄동농협
8005812,테크노밸리1단지
8005825,목련아파트
8005828,원불교유성교당
8005829,구암동
8005846,테크노밸리1단지
8005857,반석초등학교
8005858,진잠타운아파트
8005859,진잠타운아파트
8005860,송림마을5.6단지
8005866,한배미뜰
8005879,테크노밸리6.10단지
8005880,테크노밸리6.10단지
8005896,뉴로스
8005897,뉴로스
8005898,조폐공사ID본부
8005899,조폐공사ID본부
8005900,하기동
8005901,대전컨벤션센터
8005902,반석마을3단지
8005905,노은동화훼단지
8005906,반석마을5단지
8005907,반석마을5단지
8005921,유림공원
8005925,DCC종점
8005928,온천2동주민센터
8005941,구즉동주민센터입구
8005942,구즉동주민센터입구
8005943,한국천문연구원
8005944,한국천문연구원
8005950,연구개발특구진흥재단
8005953,화인테크
8005954,화인테크
8005955,대청ENG
8005957,한들교
8005961,계룡과선교
8005964,스마트시티2단지
8005966,군인아파트
8005969,군인아파트노인정
8005970,군인아파트종점
8005971,테크노밸리7단지
8005972,테크노밸리7단지
8005975,중앙백신연구소
8005976,중앙백신연구소
8005979,하기동
8005990,도안센트럴시티
8005991,도안고등학교
8005992,도안고등학교
8005996,신안인스빌
8005997,신안인스빌
8006002,노은도서관
8006003,노은도서관
8007019,노은휴먼시아4단지
8007020,노은3지구종점
8007023,미학아파트
8007024,자광사
8007025,자광사
8007026,한라비발디아파트
8007028,유성중학교
8007030,태광산업중앙연구소
8007047,테크노밸리6단지
8007064,별밭공원
8007065,별밭공원
8007066,반석네거리
8007098,쉼터공동체
8007099,쉼터공동체
8007100,유성생명과학고
8007101,싸이언스빌3가
8007102,싸이언스빌3가
8007103,유성구청소년수련관
8007155,법원등기국
8007156,법원등기국
8007161,꿈에그린아파트
8007162,꿈에그린아파트
8007163,해랑숲마을5단지
8007164,해랑숲마을5단지
8007165,해랑숲마을6단지
8007166,계룡리슈빌아파트
8007167,새미래중학교
8007168,새미래중학교
8007169,오토월드
8007177,옥녀봉체육공원
8007181,에이팩
8007182,에이팩
8007184,예미지7단지
8007189,현대아울렛남문
8007208,에코힐7단지
8007209,트리풀시티포레1단지
8007222,한텍
8007223,한텍
8007224,대전테크노파크
8007225,대전테크노파크
8007226,조은정밀
8007227,조은정밀
8007228,청벽산공원
8007229,학하중앙로
8007230,미학아파트
8007231,씨엔씨티에너지학하CES
8007232,복용3통
8007233,복용1통
8007235,구즉동주민센터
8007236,구즉동주민센터
8007237,구즉초등학교
8007238,복용1통
8007239,복용3통
8007240,씨엔씨티에너지학하CES
8007241,학하중앙로
8007244,예미지7단지
8007247,안골입구
8007248,안골입구
8007263,원내동공영차고지
8007320,죽동예미지아파트
8007321,죽동천년나무아파트
8007322,충대서문
8007323,죽동천년나무아파트
8007324,죽동칸타빌아파트
8007338,꽃묘생산단지
8007339,영무예다음아파트
8007340,영무예다음아파트
8007356,노은휴먼시아4단지
8007357,충남대학교
8007362,월드컵경기장역
8007368,옥녀봉네거리
8007394,해링턴아파트
8007395,월드컵경기장역
8007407,육군정보통신학교
8007408,육군정보통신학교
8007409,국군대전병원
8007410,별밭공원
8007419,자운근린공원
8007420,자운근린공원
8007480,유성생명과학고등학교
8007481,유성생명과학고등학교
8007482,유성고등학교
8007483,대전예술고등학교
8007484,진터네거리
8007485,상대초등학교
8007486,휴먼시아4단지
8007487,국립대전숲체원
8007490,현대아울렛북문
8007520,한국과학기술원북문
8007522,한국과학기술원교수회관
8007523,한국과학기술원교수회관
8007524,한국과학기술원대강당
8007525,한국과학기술원대강당
8007526,한국과학기술원본관
8007527,한국과학기술원본관
8007528,한국과학기술원오리연못
8007529,한국과학기술원오리연못
8007540,구암역
8007541,구암역
8007542,송림마을5단지
8007549,신세계백화점
8007553,아이파크시티
8007554,아이파크시티
8007555,상대네거리
8007556,상대네거리
8007564,유성온천역1번출구
8007565,구암동기점지
8007566,유성구보건소
8007567,유성구보건소
8007570,우미린아파트
8007571,둔곡2교
8007572,둔곡2교
8007573,천동천3교
8007575,국제과학21로
8007576,국제과학22로
8007577,씨에이치씨랩
8007578,씨에이치씨랩
8007579,국제과학9로
8007580,국제과학9로
8007581,바이오오케스트라
8007582,바이오오케스트라
8007583,국제과학5로
8007584,국제과학3로
8007585,서한이다음1단지
8007587,서한이다음2단지
8007588,서한이다음2단지
8007589,호반써밋그랜드파크
8007590,호반써밋그랜드파크
8007591,수천이들근린공원
8007593,용산고등학교
8007594,용산고등학교
8007605,휴먼시아10단지
8007606,천년나무11단지
8007607,트리풀시티엘리프
8007612,트리풀시티힐스테이트
8007613,천년나무11단지
8007614,휴먼시아10단지
8007616,호반써밋그랜드파크4단지
8007617,호반써밋그랜드파크2단지
8007624,천동천1교
8007625,둔곡교차로
8007626,둔곡교차로
8007627,둔곡교차로
8007645,대정동원당마을
8007646,도안2-3지구
8007647,도안2-5지구
8007648,갑천근린공원
8007649,봉명동문화원로
8007650,봉명동문화원로
8007651,갑천근린공원
8007654,도안2-5지구
8007655,도안2-3지구
8007656,대정동원당마을
8007674,유성선병원
8007675,유성선병원
8007676,반석역
8007677,반석역
8007679,대전월드컵경기장
8007680,대전월드컵경기장
8007681,반석네거리
8007682,반석네거리
8007683,더샵도안트위넌스
8007684,힐스테이트도안퍼스트
8070001,한국가스기술공사
8070002,한국가스기술공사
8070003,송강중학교
8070004,송강중학교
8070008,대전도시과학고등학교
8070009,한아름아파트
8070013,예미지7단지
8070014,봉명베르디움
8070015,봉명베르디움
8070023,봉명중학교
8070024,예미지7단지
8070025,봉명초등학교
8070026,도안센트럴시티
8070028,대전시립제1노인병원
8070029,흥도초등학교
8070030,흥도초등학교
8070031,청벽산공원네거리
8070032,청벽산공원네거리
8070035,안산산성
8070036,안산1통
8070043,수정초등학교
8070044,수정초등학교
8070045,유성숲오투그란데
8070046,덕명중학교
8070047,안산1통
8072544,국제과학비즈니스벨트
8072545,국제과학비즈니스벨트
8072548,도안더리브지식산업센터
8072549,학하1통마을회관
8072550,학하리슈빌포레아파트
8072551,학하리슈빌포레아파트
8072552,호산어린이공원
8072553,호산어린이공원
8072555,죽동천년나무아파트
8072556,죽동종점
8072557,대전보훈요양원
8072558,죽동푸르지오아파트
8072559,포레나유성아파트
8072560,포레나유성아파트
8072563,머크샤
8081299,KT&G연구소
8102775,탑립육교
8102776,탑립육교
9001029,대덕대학
9001783,봉산동기점
9002062,송정소징이
9002070,수운교입구
9002077,수통골기점지
9002170,안산동
9002736,충대농대종점
9002737,충대농대종점
9002745,충렬사삼거리
9007019,노은휴먼시아4단지
9007565,구암동기점지
9102765,탑립동
